belief,alpha_target,gamma,feedback,mode,day,n,coverage,target,update_rate,mean_alpha,mean_qhat
LastObservation,0.3,0.0,oracle,aci_static,3,900,0.732222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,4,900,0.721111,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,5,900,0.722222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,6,900,0.756667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,7,900,0.685556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,8,900,0.708889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,9,900,0.716667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,10,900,0.695556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,11,900,0.746667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,12,900,0.763333,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,13,900,0.763333,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,14,900,0.698889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,15,900,0.694444,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,16,900,0.693333,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,17,900,0.675556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,18,900,0.71,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,19,900,0.721111,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,20,900,0.765556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,21,900,0.708889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,22,900,0.704444,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,23,900,0.7,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,24,900,0.68,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,25,900,0.702222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,26,900,0.696667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,27,900,0.766667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,all,22500,0.7172,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.01,oracle,aci_oracle,3,900,0.706667,0.7,1.0,0.299933,0.928133
LastObservation,0.3,0.01,oracle,aci_oracle,4,900,0.681111,0.7,1.0,0.292722,0.91082
LastObservation,0.3,0.01,oracle,aci_oracle,5,900,0.727778,0.7,1.0,0.297733,0.865932
LastObservation,0.3,0.01,oracle,aci_oracle,6,900,0.741111,0.7,1.0,0.329733,0.587375
LastObservation,0.3,0.01,oracle,aci_oracle,7,900,0.655556,0.7,1.0,0.316133,0.753438
LastObservation,0.3,0.01,oracle,aci_oracle,8,900,0.69,0.7,1.0,0.299078,0.868645
LastObservation,0.3,0.01,oracle,aci_oracle,9,900,0.705556,0.7,1.0,0.304511,0.719291
LastObservation,0.3,0.01,oracle,aci_oracle,10,900,0.676667,0.7,1.0,0.295244,0.79705
LastObservation,0.3,0.01,oracle,aci_oracle,11,900,0.705556,0.7,1.0,0.290433,0.83817
LastObservation,0.3,0.01,oracle,aci_oracle,12,900,0.735556,0.7,1.0,0.300478,0.743204
LastObservation,0.3,0.01,oracle,aci_oracle,13,900,0.735556,0.7,1.0,0.329122,0.647905
LastObservation,0.3,0.01,oracle,aci_oracle,14,900,0.653333,0.7,1.0,0.325967,0.709967
LastObservation,0.3,0.01,oracle,aci_oracle,15,900,0.682222,0.7,1.0,0.298667,0.888019
LastObservation,0.3,0.01,oracle,aci_oracle,16,900,0.678889,0.7,1.0,0.292911,0.974483
LastObservation,0.3,0.01,oracle,aci_oracle,17,900,0.688889,0.7,1.0,0.2712,0.952022
LastObservation,0.3,0.01,oracle,aci_oracle,18,900,0.701111,0.7,1.0,0.263189,0.948964
LastObservation,0.3,0.01,oracle,aci_oracle,19,900,0.738889,0.7,1.0,0.282656,0.765161
LastObservation,0.3,0.01,oracle,aci_oracle,20,900,0.748889,0.7,1.0,0.317467,0.690548
LastObservation,0.3,0.01,oracle,aci_oracle,21,900,0.658889,0.7,1.0,0.324722,0.75508
LastObservation,0.3,0.01,oracle,aci_oracle,22,900,0.695556,0.7,1.0,0.302633,0.829212
LastObservation,0.3,0.01,oracle,aci_oracle,23,900,0.676667,0.7,1.0,0.302033,0.861597
LastObservation,0.3,0.01,oracle,aci_oracle,24,900,0.686667,0.7,1.0,0.280511,0.966705
LastObservation,0.3,0.01,oracle,aci_oracle,25,900,0.698889,0.7,1.0,0.278611,0.901291
LastObservation,0.3,0.01,oracle,aci_oracle,26,900,0.705556,0.7,1.0,0.277444,0.962404
LastObservation,0.3,0.01,oracle,aci_oracle,27,900,0.753333,0.7,1.0,0.2976,0.777227
LastObservation,0.3,0.01,oracle,aci_oracle,all,22500,0.701156,0.7,1.0,0.298829,0.825706
