agent,belief,policy,episode_id,household_id,day_index,question_id,object_id,object_class,t_query,answer_receptacle,truth_receptacle,correct,confidence,budget_before,budget_spent,budget_after,forced_answer,belief_accuracy
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0065,water_bottle_1,water_bottle,288291,bathroom_shelf_ba1,counter_k1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0053,headphones_1,headphones,289094,counter_k1,couch_l1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0046,umbrella_1,umbrella,289391,entry_floor_e1,entry_floor_e1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0069,charger_1,charger,290180,coffee_table_l1,counter_k1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0031,charger_1,charger,290456,coffee_table_l1,counter_k1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0004,bowl_2,bowl,290648,coffee_table_l1,coffee_table_l1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0074,water_bottle_1,water_bottle,291530,bathroom_shelf_ba1,counter_k1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0081,wallet_marisol,wallet,292766,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0009,bowl_1,bowl,293452,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.7647058823529411
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0072,phone_marisol,phone,294147,counter_k1,counter_k1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0027,book_1,book,294424,nightstand_b1,couch_l1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0044,blanket_1,blanket,294873,bed_b1,bed_b1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0085,charger_1,charger,295035,coffee_table_l1,counter_k1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0062,mug_2,mug,295147,cupboard_k1,sink_k1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0012,plate_1,plate,296330,coffee_table_l1,coffee_table_l1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0026,wallet_marisol,wallet,296759,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0020,mug_2,mug,297391,cupboard_k1,sink_k1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0029,remote_1,remote,297859,couch_l1,couch_l1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0049,jacket_marisol,jacket,299235,chair_k1,chair_k1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0039,phone_marisol,phone,301427,counter_k1,couch_l1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0017,headphones_1,headphones,301879,counter_k1,bathroom_shelf_ba1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0087,bowl_2,bowl,303404,coffee_table_l1,coffee_table_l1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0082,bowl_1,bowl,303629,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0019,mug_1,mug,303729,coffee_table_l1,coffee_table_l1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0021,jacket_marisol,jacket,304134,chair_k1,chair_k1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0038,wallet_marisol,wallet,304285,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0086,book_1,book,304747,nightstand_b1,couch_l1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0007,jacket_marisol,jacket,305408,chair_k1,chair_k1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0060,book_1,book,306285,nightstand_b1,couch_l1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0006,umbrella_1,umbrella,306843,entry_floor_e1,entry_floor_e1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0024,bowl_1,bowl,307116,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0035,charger_1,charger,307535,coffee_table_l1,counter_k1,False,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0023,umbrella_1,umbrella,307681,entry_floor_e1,entry_floor_e1,True,1.0,16,0,16,False,0.6470588235294118
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0036,bowl_1,bowl,308100,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0048,mug_1,mug,309060,coffee_table_l1,coffee_table_l1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0014,mug_2,mug,309311,cupboard_k1,sink_k1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0016,keys_marisol,keys,310193,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0001,wallet_marisol,wallet,310323,entry_table_e1,entry_table_e1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0043,plate_1,plate,310784,coffee_table_l1,coffee_table_l1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0050,water_bottle_1,water_bottle,311213,bathroom_shelf_ba1,counter_k1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0057,blanket_1,blanket,311392,bed_b1,bed_b1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0071,medication_bottle_1,medication_bottle,312739,nightstand_b1,nightstand_b1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0076,umbrella_1,umbrella,313550,entry_floor_e1,entry_floor_e1,True,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0010,phone_marisol,phone,314100,counter_k1,couch_l1,False,1.0,16,0,16,False,0.7058823529411765
LastObservation+NeverSense,LastObservation,NeverSense,hh_001_hh_001_seed0_28d,hh_001,3,q0077,blanket_1,blanket,314106,bed_b1,bed_b1,True,1.0,16,0,16,False,0.7058823529411765
