household_id,day_index,ess,correct
hh_001,3,1.105,0
hh_001,3,1.105,1
hh_001,3,1.105,1
hh_001,3,1.105,0
hh_001,3,1.105,0
hh_001,3,1.105,1
hh_001,3,1.105,1
hh_001,3,1.105,0
hh_001,3,1.105,1
hh_001,3,1.105,1
hh_001,3,1.105,0
hh_001,3,1.105,0
hh_001,3,1.105,1
hh_001,3,1.105,0
hh_001,3,1.105,0
hh_001,3,1.105,1
hh_001,3,1.105,1
hh_001,3,1.105,0
hh_001,3,1.105,1
hh_001,3,1.105,1
hh_001,3,2.005,1
hh_001,3,2.005,0
hh_001,3,2.005,1
hh_001,3,2.005,1
hh_001,3,2.005,1
hh_001,3,2.005,0
hh_001,3,2.005,0
hh_001,3,2.005,1
hh_001,3,2.005,1
hh_001,3,2.005,1
hh_001,3,2.005,1
hh_001,3,2.005,1
hh_001,3,1.0998,0
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,0
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,0
hh_001,3,1.0998,0
hh_001,3,1.0998,0
hh_001,3,1.0998,0
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,0
hh_001,3,1.0998,0
hh_001,3,1.0998,0
hh_001,3,1.0998,0
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,0
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,0
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,1.0998,1
hh_001,3,2.0,1
hh_001,3,2.0,1
hh_001,3,2.0,1
hh_001,3,2.0,1
hh_001,3,2.0,1
hh_001,3,2.0,1
hh_001,4,2.0,1
hh_001,4,2.0,1
hh_001,4,2.0,0
hh_001,4,2.0,0
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,0
hh_001,4,1.1003,0
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,0
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,0
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,1
hh_001,4,1.1003,0
